238,Bom Jesus do Itabapoana,33
239,Alto Paraíso de Goiás,52
240,Altaneira,23
241,Águas Mornas,42
242,Benjamin Constant,13
243,Barra de São Miguel,27
244,Aracruz,32
245,Alto Taquari,51
246,Angical do Piauí,22
247,Alto Paraná,41
248,Tarauacá,12
249,Alagoinha,26
250,Água Boa,31
251,Amambai,50
252,Beruri,13
253,Amaral Ferrador,43
254,Ametista do Sul,43
255,André da Rocha,43
256,Boquim,28
257,Boa Vista do Ramos,13
258,Campo Novo de Rondônia,11
259,São João do Rio do Peixe,25
260,Anajás,15
261,Alagoinhas,29
262,Alto do Rodrigues,24
263,Anta Gorda,43
264,Uiramutã,14
265,Brejo Grande,28
266,Cabo Frio,33
267,Alto Santo,23
268,Alfredo Wagner,42
269,Boca do Acre,13
270,Batalha,27
271,Atílio Vivácqua,32
272,Alvorada,17
273,Anísio de Abreu,22
274,Alto Piquiri,41
275,Xapuri,12
276,Aliança,26
277,Água Comprida,31
278,Anastácio,50
279,Tartarugalzinho,16
280,Anajatuba,21
281,Agudos,35
282,Amparo,25
283,Amontada,23
284,Alto Bela Vista,42
285,Alambari,35
286,Aparecida,25
287,Ananindeua,15
288,Alcobaça,29
289,Angicos,24
290,Antônio Prado,43
291,Cachoeiras de Macacu,33
292,Alvorada do Norte,52
293,Antonina do Norte,23
294,Anchieta,42
295,Borba,13
296,Belém,27
297,Baixo Guandu,32
298,Apiacás,51
299,Antônio Almeida,22
300,Alvorada do Sul,41
301,Porto Acre,12
302,Altinho,26
303,Aguanil,31
304,Anaurilândia,50
305,Vitória do Jari,16
306,Anapurus,21
307,Alfredo Marcondes,35
308,Candeias do Jamari,11
309,Araçagi,25
310,Amaralina,52
311,Apicum-Açu,21
312,Caapiranga,13
313,Arambaré,43
314,Americano do Brasil,52
315,Angélica,50
316,Anapu,15
317,Araguanã,21
318,Araricá,43
319,Almadina,29
320,Antônio Martins,24
321,Aratiba,43
322,Cambuci,33
323,Amorinópolis,52
324,Apuiarés,23
325,Angelina,42
326,Canutama,13
327,Belo Monte,27
328,Barra de São Francisco,32
329,Aroazes,22
330,Amaporã,41
331,Amaraji,26
332,Águas Formosas,31
333,Antônio João,50
334,Araioses,21
335,Altair,35
336,Castanheiras,11
337,Arara,25
338,Augusto Corrêa,15
339,Chupinguaia,11
340,Carapebus,33
341,Cujubim,11
342,Comendador Levy Gasparian,33
343,Aroeiras do Itaim,22
344,Arame,21
345,Aurora do Pará,15
346,Aquiraz,23
347,Anita Garibaldi,42
348,Carauari,13
349,Boca da Mata,27
350,Boa Esperança,32
351,Araguaiana,51
352,Ananás,17
353,Arraial,22
354,Ampére,41
355,Angelim,26
356,Águas Vermelhas,31
357,Aparecida do Taboado,50
358,Arari,21
359,Altinópolis,35
360,Governador Jorge Teixeira,11
361,Araruna,25
362,Aveiro,15
363,Amargosa,29
364,Apodi,24
365,Arroio do Meio,43
366,Campo do Brito,28
367,Campos dos Goytacazes,33
368,Angico,17
369,Assunção do Piauí,22
370,Anahy,41
371,Araçoiaba,26
372,Arroio do Sal,43
373,Arroio do Padre,43
374,Careiro,13
375,Branquinha,27
376,Bom Jesus do Norte,32
377,Aparecida do Rio Negro,17
378,Avelino Lopes,22
379,Andirá,41
380,Araripina,26
381,Aimorés,31
382,Aquidauana,50
383,Axixá,21
384,Alto Alegre,35
385,Itapuã do Oeste,11
386,Areia,25
387,Bagre,15
388,Amélia Rodrigues,29
389,Areia Branca,24
390,Arroio dos Ratos,43
391,Canhoba,28
392,Cantagalo,33
393,Anápolis,52
394,Aracati,23
395,Anitápolis,42
396,Baixa Grande do Ribeiro,22
397,Ângulo,41
398,Alumínio,35
399,Areia de Baraúnas,25
400,América Dourada,29
401,Cardoso Moreira,33
402,Careiro da Várzea,13
403,Brejetuba,32
404,Barra D'Alcântara,22
405,Barras,22
406,Antonina,41
407,Arcoverde,26
408,Aiuruoca,31
409,Bacabal,21
410,Álvares Florence,35
411,Ministro Andreazza,11
412,Areial,25
413,Baião,15
414,Anagé,29
415,Arês,24
416,Arroio do Tigre,43
417,Canindé de São Francisco,28
418,Carmo,33
419,Anhanguera,52
420,Aracoiaba,23
421,Antônio Carlos,42
422,Coari,13
423,Cacimbinhas,27
424,Cachoeiro de Itapemirim,32
425,Araguainha,51
426,Aral Moreira,50
427,Bacabeira,21
428,Bannach,15
429,Ararendá,23
